negative	Ni zaidi ya Asha ngedere
positive	Tuendelee kuchapa kazi ndugu zangu tena kwa furaha isiyo na kifani.
neutral	waziri anasoma utadhani uamefungwa mashine
neutral	Hapo mlijiridhisha nn sasa??
positive	Ilikuwa matarajio ya kupata dhahabu ambayo yaliwachochea wanaume hawa wenye usongo wa maisha kufanya juhudi kubwa za kufungua kampuni
negative	Huyo zuchu anavyojikuta sasa mmmh
neutral	utawezaje kusex bila kumpa pesa sijui labda wapo ila mm sijawahi kumpata.
neutral	Kweli ? Kusema kweli ni bora hata miguu ya kuku kwa kweli.
neutral	Unaandika kwa uzi upi jombi?
positive	Nafurahi sana kwa kuwa umeipenda
negative	nilikuwa namuona mbezibeach akiwa anakunywa na maashangingi wenzie..matusi sasa uwiiii.
negative	Utajiri wa ujinga ndio umejaa.
neutral	Sio mbaya kueleweshana ndo maana nikasema unishawishi ni kivipi siku ya mauaji iadhimishwe kama siku ya upendo
negative	Huyo mume alifanya vibaya kwann anaoa kisha kumpeleka huyo bibi kwamke wake??
positive	Mmoja kati ya watu ninao wakubali hapa nchini ambao ni wanasiasa wewe ni wa pili ukitanguliwa na JP
neutral	Mwenye video anisaidie niweze kuelewa huu uzi.
negative	Anayelalamika ukabila ndiye wa kwanza kuendekeza ukabila.
positive	Vizuri kabisa haiwezekane Mtu akiwa Mzima hawamjali sasa akifa siku ya Msiba unakuta wakipinga chakula Ni Heri walimwanga chakula walifanya vizuri sana haki ya  Mungu  ????????????
positive	BlackFriday ilimalizika na mauzo yalienda kwa sana, faida ilikuwa nzuri na kubwa hadi tulipewa day-off
neutral	Oh, umenishangaza kwakweli!
positive	Alizidi kuwa na furaha, na kutulia zaidi.
neutral	Ni nani wewe?
positive	Aya ndio mambo tulikuwa tunayataka ongera sana baba la baba
neutral	Kwa taratibu za Tanzania hapo yupo uchi, labda angevaa dera...
negative	Majitu ya kigoma yanajifanyaga yanajiamin sana sasa wote wananchi mnamshambulia mwenzenu hamjali uhai wake daah,sheria si zipo
negative	Wanapenda kuvuna wasichopanda.
neutral	Hivi huyu kwanini asipewe mkoa kabisa?
neutral	Kumbe na nyinyi huwa mnaumia ?
positive	KAONGEA POINT KABISA NINGEKUWA MIMI NDO NINADHAMANA YA KUFANYA MAAMUZI
neutral	Ulitaka ngapi?? Zinatosha kwa idadi ya wagonjwa tulio nao!! Tutakuwa tunaagiza kwa kadri tutakavyohitaji!!
positive	"Katika siku 10 za mwisho za uchaguzi huo, hata hivyo, alikua mwenye furaha zaidi, ingawa watoto walibaki bila kujua. "
negative	Huyu muongo anaongea pumba tu
negative	Mmoja akikosa hicho awe mama ama mke ni sawa kukemea.
neutral	Nini ?hujui jambo la kwanza kuhusu bustani wewe !
positive	Ndege mapema huwa wanakamata visamaki, nafurahia kutazama.
positive	Leo umejua kunichekesha...Lol
negative	Wamebugi bado.
neutral	Eti msaada! Duh!
positive	Ilikuwa ni furaha , Bibi . Robinson .
positive	Ataendelea kuwa mwanasiasa machachari nje ya ulingo for the rest of his life.
negative	waliochota pesa na wanaozifuatilia zirudi, wote si wajinga! wanajua kinachoendelea.
positive	inaokoa sana..,mi nilipata ajali ma subaru impreza hiyo kitu ikaniokoa
negative	Watu humu ndani ni wapumbavu wengi Sana, Serikali inapitia upya tozo na vifurushi Ili kupunguza gharama tofauti na ambavyo walipitisha awali ila majitu Kazi kupayuka,kutukana.
negative	anakwepa swali makusudi sidhani kama hajaelewa
negative	Tatizo letu watanzania tunapenda kudanganywa kwa kupambwa
positive	Yani wewe hizo shughuli zako haziishi Mara soda umetoka ufagio Mara nguo si begi usijui unatafuta nini
negative	Inatupasa kuacha ubinafsi uliopitiliza kiwango.
neutral	Kweli ? Umewezaje kuwa na uhakika kuhusu muda ?
negative	Kuna watu wanaohudumu katika vyombo vyakutenda haki wanaitiia aibu serikaki kesi gani zaidi ya miaka 20 haiishi
positive	Hiyo nguo ni nzuri haswa, usiivue..
neutral	Angalia ! Akaunti Yangu ya kwanza benki na bado ina fedha za kutosha!
neutral	Hivi kama miwaziri inajipanga foleni na kunywa dawa, na kujilamba hadharani kwa kitu ambacho hakijathibitishwa kisayansi...
neutral	Hapa?wahusika wanapaswa kulitolea maelezo ili kuondoa sintofahamu
positive	Wooh, panang'aa na ni pasafi. Kuta pia zimepakwa rangi mpya
neutral	Basi huyo kwa mumewe analialia mpaka unaweza ukamuonea huruma
negative	Hawa wasituone wajinga huu mti ni wa kawaida tu mlangali huu
positive	Kusema kweli, mama yangu alitengeneza kuanzia mwanzo
negative	"Sasa nyie hamjikingi, watu wanakufa hamtoi takwimu, walioambukizwa hamtaji mnafanya siri unategemea nn?? "
positive	Asante . najaribu kuweka katika sura nzuri.
positive	Anajua vitu hatariii kumdanganya sio rahisii
negative	Mchawi uyo
positive	"Akigonga, akijaribu kushikilia maharamia watano na kula barafu-barafu, Perdita hakuonewa. "
neutral	Na wewe pia?! Maajabu
neutral	Kweli ? Hiyo ni ajabu !
neutral	Unataka kuwa Tajir na kazi hutaki hata kulima bustani hutaki KISA una kadegree kako kamoja ati na wewe ni msomi?????
negative	Ajuza senge sana hili
neutral	Aligundua kwa mshangao kuwa kweli alikuwa akiombea.
neutral	Siamini kama Obama ni Rais wetu na ni mwafrika .
neutral	Inabidi Twende Tukashtak Wanafanishaje Nyama Na Mnavu
negative	Kama umeona uchaguzi kwanini ulikuwa unagombea acha kuichafua nchi
neutral	Nini kimekuleta wewe hapa leo ?
